monthYear,peakConcurrentInMillions
January 2013,6.61
February 2013,6.51
March 2013,5.74
April 2013,5.6
May 2013,5.4
June 2013,5.25
July 2013,5.67
August 2013,5.71
September 2013,6.61
October 2013,6.83
November 2013,6.93
December 2013,7.68
January 2014,7.81
February 2014,7.48
March 2014,7.18
April 2014,7.01
May 2014,7.05
June 2014,7.85
July 2014,7.28
August 2014,7.17
September 2014,7.35
October 2014,7.58
November 2014,9.41
December 2014,8.36
January 2015,8.57
February 2015,8.94
March 2015,9.28
April 2015,9.47
May 2015,9.57
June 2015,10.27
July 2015,9.44
August 2015,10.07
September 2015,10.7
October 2015,12.59
November 2015,13.47
December 2015,11.64
January 2016,12.52
February 2016,12.86
March 2016,12.8
April 2016,12.93
May 2016,12.39
June 2016,12.34
July 2016,12.28
August 2016,11.96
September 2016,12.56
October 2016,13.08
November 2016,13.67
December 2016,13.69
January 2017,14.37
February 2017,14.06
March 2017,13.7
April 2017,13.71
May 2017,13.52
June 2017,14.01
July 2017,14.07
August 2017,14.23
September 2017,15.61
October 2017,16.72
November 2017,17.68
December 2017,17.99
January 2018,18.54
February 2018,18.36
March 2018,18.52
April 2018,17.2
May 2018,16.77
June 2018,17.23
July 2018,16.36
August 2018,16.03
September 2018,16.8
October 2018,16.3
November 2018,16.61
December 2018,16.97
January 2019,17.53
February 2019,17.62
March 2019,17.28
April 2019,17.13
May 2019,16.98
June 2019,16.49
July 2019,16.53
August 2019,15.99
September 2019,16.54
October 2019,16.83
November 2019,16.97
December 2019,17.6
January 2020,18.33
February 2020,19.11
March 2020,23.64
April 2020,24.54
May 2020,23.52
June 2020,21.63
July 2020,20.85
August 2020,20.87
September 2020,21.97
